@relation 'synthethicData-weka.filters.unsupervised.attribute.NumericToNominal-R1,2,5'

@attribute A {1,2}
@attribute B {1,2,3}
@attribute C real
@attribute D real
@attribute E {1,2}
@attribute G real
@attribute H real
@attribute I real

@data
2,3,0.96278,-3.707792,2,-2.925251,2.723428,0.090804
2,3,1.613534,-2.957552,2,-2.915373,0.202429,0.572645
2,3,1.778897,-3.217177,2,-2.94481,-0.313723,0.41899
2,1,0.941622,-3.290287,2,-3.12634,1.597761,1.35821
1,3,1.678105,-3.337647,2,-3.192894,0.941537,0.224522
2,1,0.047675,-2.850017,2,-2.655567,2.778214,0.240894
1,3,2.577612,-4.008362,2,-3.115528,1.114576,0.96933
2,3,0.187638,-1.805886,1,-2.533394,2.443655,0.521892
2,3,-0.323913,-5.53069,2,-3.031654,0.927479,0.026898
1,3,-0.216779,-2.137492,2,-2.933315,1.988087,0.907602
2,3,1.315716,-3.861958,2,-3.196203,1.427092,0.175592
2,3,-0.27622,-2.180207,2,-2.687904,1.064676,0.891028
2,1,0.505579,-3.197512,1,-2.839218,1.556656,0.774811
2,3,1.38786,-2.981548,2,-2.714651,1.699232,0.226007
2,2,1.298383,-3.322214,1,-3.107509,-0.127729,0.29169
2,3,0.73311,-2.681384,1,-2.741593,-0.385531,0.445542
2,2,1.876826,-2.259204,1,-2.701328,2.666995,0.137992
2,3,-0.343778,-3.359684,1,-2.890077,2.743333,0.250674
1,2,-0.619589,-2.634917,2,-2.915256,2.382105,0.384396
2,3,-1.50433,-3.456224,2,-2.78863,0.173568,0.14752
2,3,2.012599,-2.495943,2,-3.136199,3.135129,0.081408
2,3,0.490512,-3.215602,2,-3.138758,1.288956,0.199007
2,3,2.088722,-2.517007,2,-2.864483,2.542549,0.422343
2,2,0.924361,-2.569054,2,-3.06451,0.712942,0.55902
2,2,-0.558763,-2.233318,1,-3.240238,1.582676,0.56963
2,3,-0.139453,-2.061772,1,-3.224974,3.617211,1.052468
2,2,0.099933,-0.843497,2,-3.354171,0.579538,0.02361
2,2,0.921374,-3.757661,2,-3.160421,-2.236447,0.328588
2,2,2.007575,-2.751015,2,-2.673734,1.430857,-0.204869
1,1,-1.181735,-2.795042,1,-3.164968,2.624125,0.609083
2,2,0.234304,-1.51042,1,-3.150916,3.028852,0.592307
2,2,-0.40807,-1.277206,1,-3.343724,0.05719,0.513125
2,3,0.796455,-3.799118,2,-3.202409,1.671262,0.630278
1,2,1.628796,-2.934284,2,-3.13561,1.138655,-0.174241
2,3,1.970974,-3.165855,1,-2.988595,-0.032783,1.030786
1,3,-0.557804,-3.651523,2,-3.458014,-0.588843,0.922989
2,2,0.513864,-2.649636,1,-3.172502,2.124522,0.718673
2,2,-0.485943,-3.134941,2,-2.761656,1.537447,0.429363
2,3,0.418992,-3.38882,2,-2.68553,-1.203008,0.293162
1,3,-1.259984,-1.698701,1,-2.92588,1.603873,0.466888
2,2,0.580383,-2.938841,2,-2.863241,1.049464,0.06012
2,1,0.102761,-2.841676,2,-3.32593,0.532927,0.428282
2,3,0.726824,-3.945715,2,-2.601987,0.654201,0.396909
2,2,2.599741,-3.936181,2,-3.032901,2.190951,1.084991
2,2,0.997497,-2.597303,1,-2.552414,2.815779,0.444341
2,3,-0.604368,-3.862706,2,-3.11333,2.758938,0.649198
2,2,0.605629,-4.903438,2,-2.704613,-0.793325,0.689374
2,3,-0.733014,-4.174644,2,-2.861712,-0.058034,0.672332
2,3,0.785419,-4.326522,1,-2.203799,2.596852,0.729598
2,3,-1.346491,-4.989231,1,-3.051685,3.139254,0.373257
1,3,1.077369,-3.400871,1,-2.64844,3.90355,0.529741
2,3,-1.716237,-4.237794,2,-3.011064,1.897522,0.321188
2,1,0.449878,-1.632637,2,-3.267931,2.721877,1.065254
1,3,1.109171,-3.130362,2,-3.019154,-0.083385,0.424041
1,2,1.193601,-1.578361,2,-3.114039,2.598934,0.40661
1,2,0.969284,-2.806115,2,-2.780011,1.772511,0.703084
2,3,0.358334,-2.786654,1,-3.153574,0.836263,0.239567
1,2,-0.271265,-3.009192,2,-2.807083,0.649047,0.943026
2,3,1.4112,-3.523837,1,-3.342456,0.013389,1.387851
1,2,0.754575,-4.619374,2,-3.070516,3.713115,0.469139
2,1,0.371913,-4.7353,1,-3.000217,1.848884,1.334197
2,3,0.089556,-3.511613,2,-3.311432,2.273655,0.29263
2,3,0.094126,-2.620935,2,-2.982694,2.005528,1.010675
2,2,1.882946,-3.37897,2,-3.128,1.282141,0.761351
2,3,0.3345,-3.482075,2,-2.961579,3.434257,0.321398
2,2,0.527567,-2.120597,2,-3.317899,2.377471,0.014416
2,1,1.116088,-3.174261,2,-2.797018,3.589454,0.883883
2,3,0.468195,-4.723224,1,-2.906836,2.0689,0.066306
2,3,-2.202215,-2.625532,1,-3.580589,2.377143,0.896763
1,3,0.632644,-4.177273,2,-3.163517,1.729185,0.257251
2,3,1.154155,-2.760737,2,-2.785588,0.54678,0.711189
2,3,0.807863,-2.219472,2,-2.569423,1.780912,1.063563
1,3,0.306872,-2.153207,2,-2.845548,0.702716,0.822188
1,3,0.820169,-2.547277,2,-2.961588,-0.044196,0.350955
2,3,0.134592,-2.453595,2,-2.865309,1.525122,1.024964
2,1,-1.616529,-2.774375,2,-3.49169,3.419668,0.368642
2,1,-0.81106,-4.473718,2,-2.918378,3.884884,0.338794
1,1,0.473136,-0.926437,2,-3.256641,0.463502,0.663328
2,2,1.531266,-3.035506,1,-2.894322,0.767712,0.135418
1,3,0.811656,-4.050626,2,-2.697238,3.415317,-0.009295
1,2,0.529095,-2.890153,2,-2.813303,0.984978,0.148553
2,3,0.728918,-3.372492,2,-3.076883,3.356572,0.244245
1,3,1.197578,-4.36014,1,-3.156063,-0.069379,0.720756
2,3,0.853723,-2.629071,2,-3.246994,2.468201,1.085278
2,3,-0.893745,-3.513513,1,-3.383422,1.454446,0.915234
2,3,-2.329893,-2.681937,2,-2.911902,2.784147,1.087552
1,3,1.123522,-2.778397,2,-2.739636,1.908422,0.694412
2,3,1.466431,-4.009297,2,-3.167172,1.084481,1.016524
2,3,0.676753,-3.003688,2,-3.231337,-0.425309,0.360164
2,1,-0.000639,-3.670922,1,-3.078703,1.373301,0.850282
2,2,0.585867,-3.750641,2,-2.993646,1.206218,1.143743
2,1,-0.141277,-1.984158,1,-3.098841,0.543034,0.17189
2,2,2.520142,-1.452292,1,-2.926548,-0.218944,0.841193
2,3,1.107658,-3.109246,2,-2.976784,-0.426771,0.456411
2,3,0.016496,-3.108129,2,-2.762318,1.686653,-0.076478
2,1,-0.439556,-2.66785,2,-2.594562,1.645155,0.415714
2,2,0.299892,-2.617435,2,-2.879144,1.412577,0.344793
1,3,-0.228469,-3.200808,2,-2.955443,-0.831082,1.175249
2,3,0.666989,-1.787855,2,-3.060931,1.507629,0.411286
2,2,-0.673536,-2.1611,2,-3.361857,3.462163,0.601338
2,1,0.23948,-4.557676,2,-3.134726,2.26529,0.849471
2,1,0.976396,-3.595741,1,-2.826597,-0.171091,0.392831
2,2,-0.151048,-2.310704,2,-2.977215,0.777375,1.115758
2,3,0.34181,-4.656077,2,-3.136186,2.629106,0.37535
2,3,1.85675,-4.689695,2,-2.791104,2.944445,0.640322
2,2,-0.917246,-2.000388,1,-3.282775,2.017732,0.878109
2,2,1.355164,-1.850169,2,-3.306717,0.732559,0.542368
2,3,-0.549668,-2.471965,2,-2.966636,2.152402,0.407495
2,2,1.43613,-2.073501,2,-3.209845,1.418098,1.263897
2,3,-1.407354,-2.090377,2,-2.865219,-2.535541,0.496292
2,3,-0.012102,-4.706919,2,-2.907728,2.463668,1.104236
2,2,-0.726413,-3.633673,2,-3.104062,1.771446,0.505764
2,2,2.46948,-1.993495,2,-2.790814,0.891986,1.109126
2,3,1.061151,-3.290817,2,-3.080778,1.308666,0.342415
2,2,1.69646,-4.843014,2,-3.227185,0.947161,1.047083
2,2,0.574078,-3.439198,2,-3.293985,3.924478,1.376952
2,2,-1.323105,-2.154607,2,-3.241534,3.394446,0.309418
2,3,1.198135,-4.217762,2,-3.28958,2.862783,0.848149
1,2,-0.558273,-3.069362,2,-2.538567,-0.436277,0.871545
2,1,1.382499,-3.308385,1,-2.938076,0.861463,-0.327371
2,3,1.698657,-1.884346,2,-2.760107,-2.012925,0.685806
1,3,-1.023283,-3.080697,2,-3.200204,-1.368877,0.680109
1,2,1.537372,-2.359532,2,-2.912095,3.692934,0.582866
2,2,0.516407,-3.75762,1,-2.904924,3.735985,0.801156
2,3,0.095918,-4.270611,1,-3.078277,1.408275,-0.217653
2,2,-0.237519,-1.616747,2,-2.999497,3.625347,1.110274
2,2,0.878338,-3.464198,2,-3.033987,1.683492,0.988845
1,3,1.639311,-2.466146,2,-2.923653,3.642911,0.03639
2,3,-0.50296,-2.610075,2,-3.560819,0.114545,0.618841
2,3,-1.08877,-4.100684,1,-3.23081,-1.200843,0.506306
2,2,0.726602,-3.594348,2,-3.081405,0.799005,0.030914
2,3,-0.677726,-3.324897,1,-2.948018,1.573781,0.996654
1,2,-0.319866,-2.655758,2,-3.009764,2.322997,0.443852
2,1,0.906144,-1.271454,2,-2.890905,3.232143,0.686737
2,3,1.384515,-3.109608,2,-3.366379,2.204513,1.087455
2,2,1.257277,-3.207413,2,-3.215419,0.74474,0.616773
1,3,-0.026849,-3.227282,2,-3.474227,0.678456,-0.319119
2,3,-0.209025,-5.492518,2,-2.939514,-1.063416,1.377616
2,3,0.264171,-4.146071,2,-2.744875,-0.66099,0.031006
2,3,0.170933,-3.533341,2,-3.463835,-0.979118,0.201482
2,3,1.273962,-4.182621,2,-2.580995,2.77386,0.709874
1,2,2.245472,-2.899273,1,-3.387218,-0.409857,1.181006
2,3,2.110696,-3.95563,2,-2.932592,1.919425,0.748369
1,3,-0.401127,-1.201173,1,-3.45751,2.075651,0.724714
2,3,2.600205,-3.353564,2,-3.012923,0.302581,0.398256
2,3,-0.489624,-3.43791,2,-2.973964,0.377094,0.701385
2,3,1.470613,-4.769933,2,-3.181272,1.607184,0.478105
2,1,0.513523,-1.107354,2,-2.889928,1.152966,0.090956
2,3,2.058582,-2.421788,2,-3.067317,3.561518,1.134372
2,3,0.664279,-3.253378,1,-2.551184,1.480324,0.389785
1,3,2.533834,-1.512523,2,-3.55511,2.444821,0.082637
2,3,0.7207,-2.474161,2,-2.730232,-0.416371,0.205975
2,2,-0.478955,-5.613132,1,-3.261979,-0.764848,0.240101
1,3,-0.134344,-3.31087,2,-2.910882,4.01974,1.20144
2,3,0.353706,-0.914083,1,-2.770743,0.085189,0.518329
2,3,1.489911,-3.560485,2,-2.706864,0.334774,0.27338
2,3,1.278765,-4.588166,2,-2.947643,2.913731,0.661604
2,2,1.434334,-4.40795,2,-3.46178,-0.580163,0.646502
2,1,1.056939,-1.90956,2,-3.213714,2.858358,0.272325
2,3,-0.496472,-1.870229,2,-2.92958,0.723015,0.278009
2,3,-0.532488,-3.575407,2,-3.325882,1.051093,0.427916
2,1,0.739453,-4.628121,2,-3.084796,0.088286,1.419027
2,3,1.074788,-2.843157,2,-3.284832,0.421857,0.703904
2,3,0.941194,-2.648033,2,-2.944389,3.597469,0.458735
2,2,1.034079,-2.243333,1,-3.324987,0.872669,0.308177
2,3,-0.051707,-2.725611,2,-2.669894,2.537635,0.275338
2,2,0.161862,-3.23089,2,-2.858599,0.616756,0.397892
1,3,-0.631338,-2.259547,2,-2.393186,1.269581,1.034466
2,3,0.692451,-3.800845,2,-2.584916,2.681519,-0.034266
2,2,0.004549,-1.724245,2,-2.631856,3.135037,0.39981
1,3,1.482128,-2.607744,2,-3.064669,1.609039,0.51406
2,3,1.325058,-2.736706,2,-3.05556,1.333399,0.539753
2,3,0.052509,-5.224029,2,-3.161561,0.753633,1.311398
2,2,0.840891,-4.971691,1,-3.039433,-1.299139,-0.254281
2,2,0.122016,-3.068858,2,-3.098392,0.337519,0.430923
2,3,0.877705,-2.409269,2,-2.936677,1.63996,-0.063402
2,3,2.203206,-3.369722,2,-2.972205,1.420155,0.379826
2,3,0.238804,-2.225411,1,-3.211747,3.209387,0.142049
2,2,0.999948,-2.249521,2,-2.866571,2.857281,-0.142243
2,2,1.67611,-1.590291,1,-3.425501,2.703643,1.011978
1,3,1.305664,-3.420965,2,-3.001584,3.015976,0.109048
2,1,-0.140043,-2.02926,2,-3.067432,0.50252,0.294061
2,3,1.24576,-4.393555,2,-3.294609,1.835586,0.580469
2,3,1.054689,-3.827881,2,-2.918721,4.89829,0.498756
2,3,-0.790851,-2.641951,1,-3.489485,1.143825,-0.202408
2,2,-0.192901,-2.554443,2,-3.074743,-1.305981,0.685254
2,2,1.434933,-3.437363,2,-2.901131,1.988167,1.125509
2,2,-0.200158,-1.079664,2,-3.464555,2.067481,0.280046
2,3,-0.304241,-2.288445,2,-2.912209,1.921339,0.406591
2,2,0.643126,-3.645283,2,-3.032174,0.794629,1.116894
1,3,1.008373,-4.557886,1,-2.938102,2.722597,0.110399
1,3,-0.077318,-4.995481,2,-2.979037,3.22982,0.624872
2,3,0.721144,-1.997249,2,-3.170147,1.717961,0.878264
2,3,-0.985219,-2.504603,2,-2.842276,1.250557,0.957301
2,2,-0.581649,-1.537026,2,-3.253117,-0.616977,0.607108
2,3,0.406853,-4.001714,2,-2.980247,1.041843,0.211015
2,3,1.404478,-2.983436,2,-3.184507,0.913676,0.579047
2,3,0.364998,-3.749326,2,-3.413828,-0.976692,0.849037
2,3,-1.090978,-3.203784,1,-2.678669,4.580908,0.939864
2,1,0.773527,-3.642329,2,-3.286885,2.232287,0.122614
2,3,1.655546,-3.520772,2,-3.10612,0.002356,0.744256
2,2,1.153227,-3.028298,2,-2.564014,5.725678,0.688305
2,2,0.288544,-3.249974,2,-3.312663,-0.64775,0.250226
2,3,1.973068,-2.01419,2,-2.931773,2.831478,0.582332
2,3,1.258066,-1.672674,2,-2.963502,0.797933,0.294423
1,1,0.389803,-2.915195,2,-2.652434,1.717463,0.988594
2,2,0.52332,-2.419086,1,-2.99534,-0.868277,0.741474
1,2,0.407057,-3.516917,1,-2.854271,1.673474,0.118358
2,2,-0.364607,-2.775694,2,-3.215355,2.977919,0.637178
2,3,-0.920826,-1.329959,2,-2.85398,0.351797,0.417201
2,2,0.27577,-2.929607,2,-2.881507,1.619971,-0.007802
2,3,-0.582235,-4.106424,2,-3.287563,0.476079,0.823761
2,3,1.797335,-3.026599,2,-2.977089,2.892457,0.010621
2,2,0.798644,-4.487943,2,-2.740059,0.150483,0.211881
1,3,1.308826,-3.400544,1,-3.180441,0.08569,0.682557
2,2,1.132243,-3.344056,2,-3.05407,4.440721,0.568461
2,3,0.079594,-3.832528,1,-2.952023,2.87029,0.235732
2,2,1.475501,-2.857886,1,-2.575281,3.756714,0.275948
1,3,0.639701,-3.572897,1,-2.865514,0.098376,0.983939
2,1,0.123833,-4.239661,2,-3.025753,0.579687,0.703367
1,3,-1.126616,-1.6149,2,-3.034266,-0.887983,-0.489916
2,3,1.131212,-2.122788,1,-2.962304,1.681877,0.522763
2,3,1.297937,-2.542799,2,-2.778089,0.866499,1.226773
2,3,1.63932,-1.307112,2,-2.948319,-0.300663,0.140863
2,2,1.258561,-4.674206,2,-3.228395,2.445128,-0.029457
2,2,2.136295,-2.978001,2,-2.894349,2.505753,0.807112
2,3,1.257307,-3.661671,2,-3.272679,0.212975,0.095278
1,3,0.843345,-1.564131,2,-2.924169,-0.305389,0.467934
2,3,0.058855,-3.399514,2,-3.427678,2.499048,0.257242
2,1,1.803095,-2.307428,2,-3.150647,0.5447,-0.301677
2,3,-1.403773,-3.349966,1,-3.040002,0.184501,1.036556
2,3,-0.257849,-3.590521,2,-2.790818,0.574673,0.700735
2,2,0.092821,-2.192846,2,-2.913575,3.717632,0.62474
2,1,-0.117226,-2.682873,2,-3.078812,0.858104,-0.516768
2,2,1.846025,-1.15712,1,-3.094472,2.951686,0.894174
2,2,-0.234911,-2.645227,1,-3.62817,-0.389423,0.18673
2,3,1.859677,-4.90627,2,-3.254349,0.078908,0.552643
1,2,-0.771799,-0.423261,2,-3.003211,-0.391097,-0.526324
2,3,-0.988357,-1.252851,2,-2.947,-0.740769,0.80239
2,2,0.462242,-2.951886,1,-3.116825,3.373144,0.198557
1,2,1.612295,-3.643633,2,-3.356609,2.649753,0.919261
2,3,0.171072,-3.742975,1,-2.894457,2.575675,0.541212
2,2,0.680832,-3.148156,2,-2.997421,1.540729,0.587819
2,3,-0.242845,-4.141633,2,-2.907731,1.428247,0.556043
1,2,1.679749,-3.648625,2,-2.462636,0.962836,0.616822
2,3,1.296541,-4.185481,1,-2.63504,0.398294,-0.14996
2,3,0.158742,-2.200081,2,-3.379606,-0.994912,0.861879
1,3,-0.802478,-2.157366,1,-3.374146,3.717301,0.397912
2,3,0.370773,-3.56641,2,-2.94397,-2.687415,0.145876
2,3,1.469698,-1.564417,2,-3.053379,2.215003,0.796941
1,3,0.284982,-1.753397,2,-3.23962,3.028618,1.097426
2,2,0.043166,-1.146382,2,-2.758109,2.654534,0.706397
2,3,0.124005,-4.448429,2,-3.502371,-1.315795,0.107525
2,3,0.515121,-3.938468,1,-2.832212,-1.729707,-0.449095
2,3,0.110207,-1.754445,1,-3.14021,-1.420514,0.410965
2,3,1.297081,-3.199034,2,-2.940287,-0.701767,0.607321
2,2,0.982673,0.031176,2,-2.788838,-1.125182,0.928157
1,3,-0.828334,-2.345629,1,-2.752422,3.327855,0.957014
2,3,-1.094604,-1.4026,2,-2.323796,1.868782,0.436951
2,1,1.344246,-2.42316,2,-3.397073,0.671421,0.568946
2,3,0.640527,-3.240422,1,-2.818827,2.411077,-0.042779
2,3,2.435341,-4.447098,1,-3.009881,0.986795,1.06992
2,2,-0.801734,-3.948647,2,-3.099374,1.65897,0.446854
2,3,1.044675,-0.809224,2,-3.094285,2.290996,1.130931
2,2,1.02334,-2.659885,2,-2.871611,0.565962,-0.280838
2,3,1.815517,-2.490286,2,-2.941628,0.30853,0.633355
2,2,0.308334,-3.712506,2,-3.105191,2.071876,1.052932
2,3,0.718978,-3.951413,2,-3.021159,3.11287,0.37105
2,3,0.975681,-2.630559,2,-3.048627,3.087018,0.386737
2,3,0.361369,-1.52268,2,-2.63635,1.808041,0.562925
2,3,-1.068675,-3.276773,1,-3.109517,-0.153232,1.480578
2,1,0.108409,-2.953901,1,-2.723031,2.482358,0.754055
2,3,1.072914,-1.81115,2,-3.14375,-0.836432,0.341776
2,3,0.048911,-1.923243,1,-2.55068,1.187316,0.437834
2,1,0.050054,-3.650017,2,-3.040411,-0.546941,0.459101
2,2,0.575103,-3.245547,1,-3.146733,3.680033,0.675617
1,2,0.17718,-2.766158,1,-3.278172,0.994643,0.769546
1,3,-1.878384,-2.331696,1,-3.150148,1.286009,1.022492
1,3,0.879691,-1.516809,2,-2.962797,1.716841,0.021854
2,3,0.355913,-3.248521,2,-2.803323,1.279977,0.17691
2,3,2.011071,-2.610971,1,-3.140576,1.440424,1.254451
1,2,0.084939,-1.291383,2,-2.908669,1.925126,0.194062
2,3,-0.103456,-3.928836,1,-2.996172,3.179744,1.269737
2,1,1.559955,-4.555419,2,-2.819216,1.500924,-0.088799
2,3,-0.137853,-3.858316,2,-3.295899,0.914934,1.153171
2,2,0.797687,-3.233602,2,-2.968873,0.696811,1.205596
2,3,-0.561588,-3.318653,2,-2.972104,2.762589,0.066173
2,2,1.343021,-2.574579,2,-2.596819,1.245348,0.57813
1,3,0.140819,-4.210164,2,-3.15272,1.237916,0.705881
2,3,-0.182116,-2.88338,2,-2.466211,4.223053,0.465995
2,3,1.105909,-3.74624,2,-3.136255,0.002861,0.309594
2,3,0.213433,-3.148404,2,-2.936934,3.46467,0.634759
2,2,-0.380324,-4.11037,2,-3.06043,1.751623,0.533846
2,3,0.785673,-2.203895,2,-2.500906,1.238509,0.405766
1,3,-0.282499,-3.395123,2,-2.632284,2.313622,0.878616
2,1,-0.250122,-1.835506,2,-2.852248,-0.253804,0.035675
2,3,1.223067,-2.235934,1,-3.117626,1.540766,0.304307
2,3,0.879482,-3.353768,2,-2.998844,1.028084,0.770235
2,3,-0.93419,-1.95961,2,-3.062198,0.824468,-0.014537
2,3,0.62151,-3.756839,2,-2.903661,1.341211,-0.315064
2,3,-0.699548,-2.487609,2,-3.360416,2.270783,-0.074701
2,2,0.746872,-4.083087,1,-2.636689,-1.94877,-0.097702
2,2,-1.54831,-5.160646,2,-3.016906,2.222766,0.315128
2,2,1.613208,-3.322227,2,-3.119343,2.544032,0.224578
2,1,0.910059,-1.508346,2,-2.836099,1.319669,0.681116
2,2,0.596655,-3.911564,2,-2.740757,1.171314,0.065792
1,3,1.490719,-2.539973,2,-3.157552,-1.046349,0.696612
2,3,0.056402,-2.384894,2,-3.035132,1.667162,1.243759
1,3,0.620437,-4.783842,1,-2.835553,0.322034,-0.042769
2,3,1.638699,-2.794274,2,-2.639175,0.318589,0.309268
2,3,0.797899,-2.335485,2,-3.016354,0.160626,0.605853
1,3,0.812388,-3.873725,2,-3.195829,-0.033714,1.212399
2,3,0.189744,-3.137081,1,-3.073222,3.30484,0.625233
2,3,-0.363863,-2.017197,2,-3.422951,3.947389,0.982599
2,2,0.055022,-2.652377,1,-2.891529,1.833623,0.82657
2,1,-0.351093,-4.809676,2,-2.836251,0.146202,0.36692
1,3,-0.632377,-3.491386,2,-3.452818,0.008957,0.954104
2,3,-0.007178,-2.344467,2,-2.799718,-0.261781,0.727669
2,2,0.388857,-3.869261,2,-2.831401,1.469969,1.316247
2,3,1.896497,-4.485488,2,-2.862158,1.150565,0.201935
2,3,-1.488709,-1.664115,1,-3.189232,1.410505,0.091818
2,3,-0.022848,-1.695365,2,-3.398662,1.465246,0.709671
2,3,-0.485925,-4.701739,2,-2.974926,1.610848,0.217118
2,1,0.022119,-2.426152,2,-3.211527,0.713136,0.600247
2,3,-0.206971,-0.830148,2,-3.119072,2.798726,0.520348
1,3,0.527914,-4.368992,2,-2.909109,-0.216545,0.734329
2,2,0.160682,-2.843898,2,-2.677138,1.428429,0.116668
2,3,2.668523,-4.504283,2,-2.679701,1.933815,0.914101
2,3,0.4341,-5.075666,2,-3.42678,2.885454,0.894767
2,3,-1.288576,-2.057725,2,-2.997529,0.37208,-0.198532
2,3,0.383064,-3.054168,2,-2.871763,0.392009,1.424384
2,1,0.88251,-1.859473,2,-2.665423,4.397229,0.745768
2,3,-0.729599,-3.398851,1,-3.211617,1.981664,0.89274
2,3,0.124844,-3.82005,2,-3.175511,1.37927,-0.356346
2,3,0.618651,-3.143743,2,-2.631317,2.621151,0.261872
2,3,2.11504,-3.49269,1,-3.536534,0.089496,0.549862
2,3,0.122176,-4.019217,1,-3.048845,0.724154,0.466612
1,2,1.095407,-3.059759,2,-2.801892,-1.530066,0.160487
2,2,-0.27985,-3.771428,2,-2.97969,1.334202,0.879102
1,3,1.52141,-4.506532,2,-3.11808,-1.441408,0.543581
2,3,0.606012,-4.599801,1,-3.174855,3.237016,0.821127
2,2,0.222065,-4.145672,1,-2.914142,-0.023882,1.257181
2,1,0.355702,-1.802829,2,-2.862024,1.36025,0.716898
1,1,2.951664,-1.571133,2,-2.975601,1.425475,-0.353407
2,3,0.090747,-3.711202,2,-2.86635,0.912894,0.699606
2,3,1.78942,-5.212632,2,-2.984912,2.189146,0.730773
2,2,1.364623,-2.463465,2,-3.37821,4.576173,0.020493
2,2,-1.187968,-4.686892,1,-2.41436,2.261519,0.878268
2,3,0.646282,-3.076131,1,-2.761847,-0.815713,0.407514
2,2,-0.028036,-2.930245,1,-3.038164,0.459366,0.639141
1,3,1.127557,-1.920598,1,-3.27144,2.945538,0.343174
1,2,-0.744783,-2.296889,1,-2.873572,1.403921,0.893036
2,3,0.990563,-1.922609,2,-3.14135,0.554659,0.452572
2,2,0.646194,-3.709552,1,-3.156652,-0.993378,0.297909
2,3,1.96557,-4.144382,1,-2.779699,1.672552,0.983224
2,2,0.588115,-4.389258,2,-2.662548,2.538462,0.335926
2,3,0.047575,-3.088864,2,-2.698893,0.358301,-0.145838
2,3,0.003639,-2.81176,2,-3.403726,1.42247,0.452353
2,3,-0.291973,-2.595372,2,-2.617547,1.157321,0.611972
2,3,-0.129148,-0.392717,2,-3.131489,-0.221373,-0.244782
2,2,1.711981,-2.602712,2,-2.974607,3.140858,0.24638
1,3,-0.635114,-3.152582,2,-2.887847,3.452857,0.599723
1,2,0.202831,-3.044009,1,-2.832229,4.012992,0.815884
2,2,-0.754256,-4.054328,2,-3.056177,2.395184,-0.042217
2,2,1.00364,-3.27506,2,-2.913313,1.938954,0.400953
2,3,-0.136957,-2.529956,2,-3.017009,3.635068,0.387246
2,3,1.952509,-3.614135,2,-3.095834,1.292747,0.62546
2,3,1.474519,-3.435304,1,-2.83681,-0.21594,0.695441
1,3,0.411175,-0.580159,2,-2.838716,0.554104,0.641097
2,3,0.299373,-3.625833,1,-3.093561,-0.018219,0.228243
2,1,0.999963,-1.947259,2,-3.222254,2.300771,-0.071997
2,2,0.062538,-3.601307,2,-3.105121,0.207237,0.438699
2,2,1.378588,-3.410989,2,-2.956974,0.956818,0.396219
1,3,0.914897,-2.490843,2,-3.394649,-1.240893,0.892616
2,2,0.723824,-2.220106,2,-3.269761,1.487524,-0.021817
2,3,0.828859,-1.369717,1,-2.85762,0.835251,0.226446
2,3,0.521627,-2.644722,2,-2.846968,2.723458,0.574517
2,3,-0.516792,-2.262227,2,-3.314837,0.732743,-0.030158
2,3,-0.220477,-1.993243,2,-3.200802,0.91328,0.736732
2,3,0.773957,-2.494589,2,-2.666027,-0.717017,0.937566
1,3,0.321097,-2.783114,1,-3.162035,2.360344,0.476113
1,3,0.247004,-1.940696,2,-3.192818,1.372896,0.301191
2,3,-0.380348,-2.249406,1,-3.182972,1.431968,0.692671
2,3,0.258225,-2.701179,2,-2.909039,1.647689,-0.061354
2,1,1.455419,-3.678228,2,-3.157168,2.21275,0.477843
1,3,0.51171,-4.928304,2,-3.048339,1.35887,0.195376
2,2,0.420484,-2.177734,2,-3.288052,1.494989,0.36037
1,2,1.325619,-2.398651,2,-3.377399,2.935236,0.378048
2,3,2.389138,-2.053813,2,-2.838888,2.771397,0.900827
2,3,0.065256,-1.790107,2,-3.115209,1.491985,0.779988
2,1,-0.93274,-2.304309,2,-2.527129,1.028313,0.605555
2,3,1.019926,-3.69001,2,-2.433271,1.400604,0.923517
1,3,-0.917971,-2.684841,2,-3.38768,1.124222,1.200351
2,3,-0.937241,-2.292118,1,-3.423722,0.576582,-0.228503
2,2,-0.350199,-1.30216,2,-2.961254,0.553719,-0.194433
2,3,1.303415,-3.903829,2,-2.875557,2.41312,0.053987
1,3,1.484856,-4.028989,1,-3.270624,0.957087,0.93576
2,2,1.945457,-1.789169,1,-2.9281,2.793569,0.145521
2,3,-0.024427,-3.073338,2,-3.049512,1.022397,0.958134
2,3,0.422527,-4.205737,2,-2.606351,1.904787,0.33243
2,2,2.325197,-2.637587,2,-2.743912,3.581036,0.748451
1,3,-0.171799,-1.948897,2,-2.786668,3.764823,1.107794
2,1,0.984384,-2.186063,2,-3.281879,1.761498,0.835877
2,3,0.829802,-2.275401,2,-3.172537,1.188336,0.854989
2,1,0.067708,-2.950571,2,-2.918469,1.872767,0.36935
2,3,0.873675,-3.810118,2,-2.763348,1.191166,0.071539
2,3,0.267426,-4.048923,1,-2.897252,1.038428,0.32343
2,1,0.701449,-0.919153,2,-2.973604,2.219573,0.86608
2,3,0.977197,-2.185404,2,-3.098252,1.767394,-0.020664
2,3,0.512493,-2.875146,2,-3.15638,0.202469,-0.192145
2,3,-0.621336,-3.306532,1,-3.04735,0.90161,0.737211
2,3,-0.25898,-1.75173,2,-3.162406,1.117375,0.025461
2,3,-0.291582,-0.981077,1,-2.919977,1.266487,0.881086
